transaction_id,amount,transaction_count,account_age_days,risk_score,fraud
TXN00145,80.4,6,782,0,0
TXN00146,119.66,24,745,0,0
TXN00147,98.29,23,1715,1,0
TXN00148,157.47,1,172,0,0
TXN00149,526.36,17,1410,0,0
TXN00150,212.1,12,1624,0,0
TXN00151,154.68,7,1200,0,0
TXN00152,64.35,29,721,1,0
TXN00153,33.96,22,293,1,0
TXN00154,111.46,26,1246,1,0
TXN00155,171.78,29,856,1,0
TXN00156,1062.02,40,273,1,0
TXN00157,206.49,33,657,1,0
TXN00158,484.32,25,1755,1,0
TXN00159,110.02,36,485,1,0
TXN00160,55.43,20,326,1,0
TXN00161,69.05,40,1245,1,0
TXN00162,87.77,31,365,1,0
TXN00163,1523.05,27,1679,2,1
TXN00164,79.73,37,1568,1,0
TXN00165,419.26,21,1795,0,0
TXN00166,73.48,29,1666,1,0
TXN00167,460.16,12,445,0,0
TXN00168,266.39,39,388,1,0
TXN00169,154.99,25,626,1,0
TXN00170,174.03,32,858,1,0
TXN00171,94.18,19,1606,0,0
TXN00172,283.18,35,1339,1,0
TXN00173,115.01,3,1177,0,0
TXN00174,53.22,5,1604,1,0
TXN00175,50.5,21,1179,1,0
TXN00176,215.42,30,692,1,0
TXN00177,879.27,33,754,1,0
TXN00178,212.72,18,944,0,0
TXN00179,160.99,26,163,1,0
TXN00180,241.25,23,1354,1,0
TXN00181,669.15,39,1192,1,0
TXN00182,225.74,27,1335,1,0
TXN00183,120.19,17,975,0,0
TXN00184,548.01,39,1429,1,0
TXN00185,278.32,5,1734,0,0
TXN00186,841.98,40,1041,1,0
TXN00187,217.73,7,812,0,0
TXN00188,53.28,12,191,0,0
TXN00189,46.15,33,1422,1,0
TXN00190,944.76,30,1650,1,0
TXN00191,1016.04,39,1277,1,0
TXN00192,151.48,30,1580,2,1
TXN00193,123.57,26,1572,1,0
TXN00194,781.68,14,1457,0,0
TXN00195,59.92,1,918,0,0
TXN00196,74.09,5,183,0,0
TXN00197,344.92,12,6,2,1
TXN00198,122.17,2,374,0,0
TXN00199,180.35,21,787,1,0
TXN00200,153.94,32,1358,1,0
TXN00201,254.06,39,832,1,0
TXN00202,740.62,20,43,1,0
TXN00203,198.46,36,384,1,0
TXN00204,345.14,40,1788,1,0
TXN00205,23.33,35,1804,1,0
TXN00206,172.65,19,689,0,0
TXN00207,78.0,14,1470,0,0
TXN00208,53.58,40,1313,1,0
TXN00209,75.33,10,1700,1,0
TXN00210,129.78,17,1620,0,0
TXN00211,453.0,3,1148,0,0
TXN00212,48.12,32,721,1,0
TXN00213,186.91,26,1144,1,0
TXN00214,111.7,4,583,0,0
TXN00215,130.62,9,636,0,0
TXN00216,494.11,23,1111,2,1
TXN00217,310.48,22,1043,1,0
TXN00218,690.49,33,1061,1,0
TXN00219,155.32,11,703,0,0
TXN00220,90.38,37,747,1,0
TXN00221,144.91,18,19,1,0
TXN00222,231.02,33,1099,1,0
TXN00223,216.28,10,1051,0,0
TXN00224,61.29,2,1708,0,0
TXN00225,198.44,3,921,0,0
TXN00226,227.75,15,854,0,0
TXN00227,2247.28,39,124,2,1
TXN00228,1184.23,2,360,0,0
TXN00229,77.23,15,617,0,0
TXN00230,135.99,5,689,0,0
TXN00231,41.95,38,662,1,0
TXN00232,100.41,28,720,1,0
TXN00233,248.54,31,1404,1,0
TXN00234,605.38,29,240,1,0
TXN00235,87.44,27,607,1,0
TXN00236,94.24,31,298,1,0
TXN00237,21.17,1,562,0,0
TXN00238,154.06,35,1250,1,0
TXN00239,62.65,30,86,1,0
TXN00240,106.76,30,620,1,0
TXN00241,75.43,16,44,0,0
TXN00242,164.97,33,1743,1,0
TXN00243,31.26,16,1328,0,0
TXN00244,41.8,2,445,0,0
TXN00245,1524.23,37,362,2,1
TXN00246,50.03,10,181,0,0
TXN00247,60.53,5,864,0,0
TXN00248,1137.87,25,1376,1,0
TXN00249,3311.2,10,1067,1,0
TXN00250,56.17,35,1608,1,0
TXN00251,125.43,18,628,0,0
TXN00252,255.07,1,508,1,0
TXN00253,1021.16,39,873,0,0
TXN00254,67.57,21,369,1,0
TXN00255,141.84,11,1781,0,0
TXN00256,394.39,28,340,1,0
TXN00257,279.99,22,874,1,0
TXN00258,124.44,2,953,0,0
TXN00259,158.57,31,105,1,0
TXN00260,45.84,17,855,0,0
TXN00261,142.85,28,830,1,0
TXN00262,138.88,36,474,1,0
TXN00263,228.64,25,234,1,0
TXN00264,104.03,27,83,1,0
TXN00265,290.48,11,16,1,0
TXN00266,499.05,10,879,0,0
TXN00267,211.75,17,164,0,0
TXN00268,257.69,35,1751,1,0
TXN00269,191.17,21,447,1,0
TXN00270,181.29,14,1191,0,0
TXN00271,88.1,32,1230,1,0
TXN00272,248.76,35,905,1,0
TXN00273,164.47,37,1613,1,0
TXN00274,1470.22,12,203,0,0
TXN00275,874.24,29,428,1,0
TXN00276,266.63,24,461,0,0
TXN00277,84.52,18,248,0,0
TXN00278,59.6,16,538,0,0
TXN00279,596.54,5,571,0,0
TXN00280,235.74,11,1396,0,0
TXN00281,292.99,22,551,1,0
TXN00282,31.67,36,1600,1,0
TXN00283,458.26,35,1411,1,0
TXN00284,285.55,8,1646,0,0
TXN00285,59.71,28,193,1,0
TXN00286,113.12,4,1797,0,0
TXN00287,235.97,28,1121,1,0
TXN00288,191.04,14,1793,0,0
TXN00289,135.35,18,648,0,0
TXN00290,163.45,29,1740,1,0
TXN00291,140.9,17,1075,1,0
TXN00292,211.15,33,132,1,0
TXN00293,789.57,22,749,1,0
TXN00294,13.92,40,252,1,0
TXN00295,143.04,26,1718,1,0
TXN00296,216.27,12,556,0,0
TXN00297,243.71,32,406,1,0
TXN00298,124.97,17,1010,0,0
TXN00299,31.29,22,776,1,0
TXN00300,251.64,6,177,0,0
TXN00301,1019.79,5,1491,0,0
TXN00302,39.1,23,1544,1,0
TXN00303,430.02,8,1356,0,0
TXN00304,130.51,40,1126,1,0
TXN00305,170.49,35,735,1,0
TXN00306,63.25,29,990,1,0
TXN00307,129.74,30,951,1,0
TXN00308,665.17,24,302,1,0
TXN00309,324.62,3,150,0,0
TXN00310,1024.86,16,463,0,0
TXN00311,588.4,20,830,1,0
TXN00312,281.21,37,293,1,0
TXN00313,1036.84,9,195,0,0
TXN00314,281.18,20,1555,1,0
TXN00315,414.88,14,685,0,0
TXN00316,134.75,6,1067,0,0
TXN00317,193.75,5,957,0,0
TXN00318,90.25,15,1342,0,0
TXN00319,487.64,4,1351,0,0
TXN00320,55.8,3,541,0,0
TXN00321,396.37,15,1548,0,0
TXN00322,149.81,9,678,0,0
TXN00323,584.79,23,1525,1,0
TXN00324,384.09,1,739,0,0
TXN00325,1119.51,13,203,0,0
TXN00326,376.45,19,1388,0,0
TXN00327,37.64,39,56,1,0
TXN00328,169.53,26,1410,1,0
TXN00329,56.15,36,79,1,0
TXN00330,107.96,14,378,0,0
TXN00331,821.58,18,1102,0,0
TXN00332,342.93,17,1719,0,0
TXN00333,90.11,36,746,1,0
TXN00334,65.78,39,221,1,0
TXN00335,187.31,39,426,1,0
TXN00336,53.7,31,1636,1,0
TXN00337,92.65,21,1327,1,0
TXN00338,247.65,22,184,1,0
TXN00339,575.54,40,703,1,0
TXN00340,333.21,12,483,0,0
TXN00341,18.33,14,325,0,0
TXN00342,245.76,36,1545,1,0
TXN00343,194.81,16,1128,0,0
TXN00344,274.21,10,328,0,0
TXN00345,912.52,23,1188,1,0
TXN00346,23.03,14,755,1,0
TXN00347,100.37,36,113,1,0
TXN00348,327.31,37,821,1,0
TXN00349,37.28,13,339,0,0
TXN00350,793.1,22,448,1,0
TXN00351,262.0,40,1605,1,0
TXN00352,422.67,30,1297,2,1
TXN00353,102.42,9,245,0,0
TXN00354,409.02,24,1554,2,1
TXN00355,527.67,25,1049,0,0
TXN00356,228.81,27,1597,1,0
TXN00357,229.16,2,1364,0,0
TXN00358,237.54,12,620,0,0
TXN00359,76.45,35,977,2,1
TXN00360,156.41,10,969,0,0
TXN00361,155.63,12,1314,0,0
TXN00362,265.97,13,454,0,0
TXN00363,492.66,8,608,0,0
TXN00364,62.89,7,447,0,0
TXN00365,159.97,14,541,0,0
TXN00366,797.48,35,295,1,0
TXN00367,86.18,1,67,0,0
TXN00368,79.66,12,1716,0,0
TXN00369,221.92,3,136,0,0
TXN00370,421.74,23,1621,1,0
TXN00371,183.36,11,6,1,0
TXN00372,684.69,32,1419,1,0
TXN00373,427.0,24,600,1,0
TXN00374,420.66,32,945,1,0
TXN00375,315.49,26,516,1,0
TXN00376,1858.74,18,896,1,0
TXN00377,147.65,35,825,1,0
TXN00378,24.45,20,967,1,0
TXN00379,901.68,38,718,1,0
TXN00380,114.7,40,980,1,0
TXN00381,201.92,24,1507,1,0
TXN00382,671.52,27,794,1,0
TXN00383,36.52,11,660,0,0
TXN00384,51.85,33,241,1,0
TXN00385,36.55,27,657,1,0
TXN00386,81.93,37,230,1,0
TXN00387,281.36,11,334,0,0
TXN00388,306.18,32,1738,1,0
TXN00389,238.95,19,164,0,0
TXN00390,44.13,8,880,0,0
TXN00391,17.99,7,1523,0,0
TXN00392,191.4,23,1740,1,0
TXN00393,113.09,13,268,0,0
TXN00394,286.97,5,299,0,0
TXN00395,365.75,18,680,0,0
TXN00396,208.15,27,1012,1,0
TXN00397,387.66,13,1752,0,0
TXN00398,227.97,39,380,1,0
TXN00399,307.99,32,301,1,0
TXN00400,89.6,21,463,1,0
TXN00401,151.47,38,1596,1,0
TXN00402,220.69,18,55,0,0
TXN00403,411.8,6,694,0,0
TXN00404,122.27,2,218,0,0
TXN00405,305.26,38,287,1,0
TXN00406,138.96,39,1674,1,0
TXN00407,161.17,30,4,2,1
TXN00408,415.52,5,587,0,0
TXN00409,24.7,12,1671,0,0
TXN00410,49.58,2,1110,0,0
TXN00411,41.17,3,131,0,0
TXN00412,17.57,10,849,0,0
TXN00413,92.0,23,1772,1,0
TXN00414,383.54,3,731,0,0
TXN00415,136.34,40,965,1,0
TXN00416,220.92,19,971,0,0
TXN00417,538.73,11,1206,0,0
TXN00418,683.81,21,342,1,0
TXN00419,169.16,32,1533,1,0
TXN00420,701.76,13,1805,0,0
TXN00421,198.77,2,261,0,0
TXN00422,78.46,3,1494,0,0
TXN00423,100.04,35,1491,1,0
TXN00424,41.24,5,1354,0,0
TXN00425,74.58,26,677,1,0
TXN00426,126.72,16,856,0,0
TXN00427,404.88,32,1532,1,0
TXN00428,1013.1,3,280,0,0
TXN00429,45.5,36,1513,1,0
TXN00430,268.49,28,1681,1,0
TXN00431,64.04,18,1245,0,0
TXN00432,291.4,9,624,0,0
TXN00433,159.0,40,1021,1,0
TXN00434,29.05,13,92,0,0
TXN00435,458.65,20,1701,1,0
TXN00436,98.99,16,625,0,0
TXN00437,106.28,10,105,0,0
TXN00438,62.19,17,1450,1,0
TXN00439,94.23,7,1201,0,0
TXN00440,278.07,1,1137,0,0
TXN00441,150.02,12,99,0,0
TXN00442,251.81,5,1371,0,0
TXN00443,260.32,17,1164,0,0
TXN00444,679.03,35,1449,1,0
TXN00445,128.67,7,1510,0,0
TXN00446,41.39,1,387,0,0
TXN00447,527.01,5,385,0,0
TXN00448,130.13,21,1686,1,0
TXN00449,552.58,11,970,0,0
TXN00450,265.97,20,800,2,1
TXN00451,158.99,2,525,0,0
TXN00452,256.92,14,1167,0,0
TXN00453,1275.4,17,1376,0,0
TXN00454,1446.61,18,5,1,0
TXN00455,194.3,23,1009,1,0
TXN00456,212.77,32,1813,1,0
TXN00457,531.79,19,513,1,0
TXN00458,77.82,34,513,1,0
TXN00459,252.92,22,1603,1,0
TXN00460,176.64,11,114,0,0
TXN00461,248.12,10,726,0,0
TXN00462,78.78,13,837,0,0
TXN00463,36.98,24,1457,1,0
TXN00464,22.81,10,236,0,0
TXN00465,59.3,37,793,1,0
TXN00466,114.59,20,278,1,0
TXN00467,135.21,35,1438,1,0
TXN00468,1257.94,28,1154,1,0
TXN00469,547.85,14,907,0,0
TXN00470,69.26,10,718,0,0
TXN00471,256.65,30,280,2,1
TXN00472,120.65,14,1683,0,0
TXN00473,136.41,10,1182,0,0
TXN00474,218.18,38,583,1,0
TXN00475,336.69,20,756,1,0
TXN00476,129.12,2,1326,0,0
TXN00477,525.24,20,1314,1,0
TXN00478,57.86,19,842,0,0
TXN00479,182.42,35,553,1,0
TXN00480,2434.93,29,1205,2,1
TXN00481,226.58,8,1202,0,0
TXN00482,759.92,7,1095,0,0
TXN00483,198.65,25,133,1,0
TXN00484,324.01,2,863,0,0
TXN00485,171.27,13,1121,0,0
TXN00486,152.87,6,1734,1,0
TXN00487,83.14,1,960,0,0
TXN00488,278.75,37,626,1,0
TXN00489,77.36,4,1015,0,0
TXN00490,352.69,1,324,0,0
TXN00491,536.62,38,166,1,0
TXN00492,261.53,8,1238,0,0
TXN00493,136.15,33,1800,1,0
TXN00494,285.42,2,1544,0,0
TXN00495,133.13,7,1066,1,0
TXN00496,461.99,5,74,0,0
TXN00497,29.04,29,1804,1,0
TXN00498,129.59,25,821,1,0
TXN00499,24.76,20,529,1,0
TXN00500,40.65,10,1629,0,0
